,spanish,english
2873,dieta,diet
2874,alcanzado,reached
2875,andar,walk
2876,destacó,He stood out
2877,pilar,pillar
2878,flor,flower
2879,suficientes,enough
2880,existentes,existing
2881,utilizan,They use
2882,ceremonia,ceremony
2883,ése,that
2884,abogados,Lawyers
2885,mantienen,They maintain
2886,castellano,Castilian
2887,vivido,vivid
2888,representan,represent
2889,cámaras,cameras
2890,aparecer,Appear
2891,dioses,gods
2892,programación,programming
2893,bogotá,Bogotá
2894,médica,Medical
2895,opciones,options
2896,permiso,permission
2897,verdes,green
2898,mensajes,messages
2899,participantes,participants
2900,sacó,coat
2901,profesión,profession
2902,senador,senator
2903,alvarez,Alvarez
2904,convocatoria,announcement
2905,largas,long
2906,afirmar,say
2907,arma,weapon
2908,americano,American
2909,provincias,Provinces
2910,cuantos,how many
2911,proporción,proportion
2912,rival,rival
2913,angustia,distress
2914,escasa,limited
2915,largos,long
2916,granada,grenade
2917,destrucción,destruction
2918,europeas,European
2919,podríamos,we could
2920,celebración,celebration
2921,traje,costume
2922,parecían,They seemed
2923,jurídico,legal
2924,techo,the ceiling
2925,elevado,high
2926,financiera,financial
2927,jean,Jean
2928,utilizando,using
2929,cubrir,cover
2930,descanso,break
2931,percepción,perception
2932,iu,IU
2933,bosque,forest
2934,continuidad,continuity
2935,británico,British
2936,financiación,financing
2937,bienestar,wellness
2938,afectados,affected
2939,consejero,adviser
2940,dé,of
2941,diría,would say
2942,descubrimiento,discovery
2943,escándalo,scandal
2944,estancia,stay
2945,seguros,Insurance
2946,argumentos,arguments
2947,espero,wait
2948,deportes,sports
2949,informa,Inform
2950,preparado,prepared
2951,negó,denied
2952,añadir,Add
2953,corona,crown
2954,cabezas,Heads
2955,cadáver,corpse
2956,iguales,equal
2957,pendiente,slope
2958,relacionados,related
2959,abuelo,Grandpa
2960,decirle,Tell him
2961,normalmente,usually
2962,oficinas,Offices
2963,revisión,revision
2964,frecuentes,frequent
2965,institucional,institutional
2966,cae,falls off
2967,previa,previous
2968,ricos,rich
2969,símbolo,symbol
2970,sostiene,holds
2971,capa,cap
2972,temporal,temporary
2973,vigilancia,surveillance
2974,mínima,minimal
2975,columna,column
2976,ves,you see
2977,ofrecen,They offer
2978,acababa,It ended
2979,determinada,determined
2980,ciu,ciu
2981,salsa,sauce
2982,ruta,route
2983,cursos,courses
2984,huesos,bones
2985,permitido,permitted
2986,difíciles,difficult
2987,amiga,friend
2988,observación,observation
2989,escritores,writers
2990,asumir,to assume
2991,sufrido,suffered
2992,setenta,seventy
2993,dejaron,They left
2994,guía,guide
2995,haría,would do
2996,nervioso,highly strung
2997,vivos,alive
2998,dimensiones,dimensions
2999,atender,attend
3000,contratos,Contracts
3001,fidel,Fidel
3002,bandera,flag
3003,quedarse,to stay
3004,regular,regular
3005,india,India
3006,presupuestos,Budgets
3007,rendimiento,performance
3008,igualdad,equality
3009,tocar,tap
3010,jurídica,legal
3011,confusión,confusion
3012,sufrir,suffer
3013,descripción,description
3014,ilusión,delusion
3015,bajos,low
3016,actriz,actress
3017,perfil,profile
3018,malos,bad
3019,consideró,I consider
3020,posiblemente,possibly
3021,tiro,threw
3022,colonia,Suburb
3023,premios,awards
3024,espectadores,spectators
3025,banesto,Banesto
3026,dedo,finger
3027,determinadas,determined
3028,humo,smoke
3029,sujetos,subjects
3030,oeste,west
3031,espaldas,backs
3032,gira,tour
3033,hoja,leaf
3034,integrantes,members
3035,rural,rural
3036,nariz,nose
3037,esencia,essence
3038,cura,healing
3039,reducido,reduced
3040,perfecto,perfect
3041,intentó,tried
3042,gustavo,Gustavo
3043,básicos,basic
3044,enemigos,enemies
3045,muestras,samples
3046,insistió,insisted
3047,letra,letter
3048,pescado,fish
3049,automóvil,car
3050,testigos,Witnesses
3051,toneladas,tons
3052,fama,fame
3053,impedir,prevent
3054,eliminar,remove
3055,facilidad,ease
3056,templo,temple
3057,reservas,Bookings
3058,iglesias,Churches
3059,privadas,private
3060,logra,achieves
3061,necesariamente,necessarily
3062,ofreció,offered
3063,ue,EU
3064,electorales,electoral
3065,existir,exist
3066,ópera,Opera
3067,emoción,emotion
3068,testigo,witness
3069,maneras,ways
3070,dato,fact
3071,ácido,acid
3072,banca,banking
3073,formal,formal
3074,canto,singing
3075,identificación,ID
3076,directiva,directive
3077,relativamente,relatively
3078,preparar,set up
3079,blancas,White
3080,destacar,stand out
3081,julián,Julian
3082,núcleo,core
3083,frases,phrases
3084,hiciera,made
3085,sencillo,simple
3086,colectiva,collective
3087,femenino,feminine
3088,cristal,crystal
3089,seco,dry
3090,débil,weak
3091,cebolla,onion
3092,federico,Frederick
3093,consigue,get
3094,religiosa,religious
3095,pérdidas,losses
3096,realizan,They perform
3097,plato,dish
3098,curiosidad,curiosity
3099,instancia,instance
3100,monte,mountain
3101,ética,ethics
3102,química,chemistry
3103,hablado,spoken
3104,permita,Allow
3105,merece,deserves
3106,salen,They leave
3107,pujol,Pujol
3108,cientos,hundreds
3109,desarrollado,developed
3110,dr,Dr.
3111,daños,damage
3112,romper,to break
3113,alternativas,alternatives
3114,mediodía,midday
3115,externa,external
3116,galería,Gallery
3117,fotografías,Photographs
3118,hablan,They speak
3119,legales,legal
3120,desarrolla,develops
3121,habíamos,We had
3122,salto,jump
3123,art,art
3124,gutiérrez,Gutierrez
3125,portugal,Portugal
3126,moscú,Moscow
3127,perros,dogs
3128,plazas,plazas
3129,responsabilidades,Responsibilities
3130,gil,Gil
3131,ataques,Attacks
3132,positiva,positive
3133,tranquilo,peace man
3134,toca,touches
3135,costumbres,custom
3136,adultos,Adults
3137,aparentemente,apparently
3138,obispo,bishop
3139,acusado,accused
3140,incluyendo,including
3141,odio,hatred
3142,contactos,Contacts
3143,bomba,bomb
3144,reacciones,reactions
3145,vueltas,rounds
3146,estábamos,We were
3147,desaparición,disappearance
3148,rincón,corner
3149,gris,Gray
3150,hacemos,we make
3151,mercedes,Mercedes
3152,intercambio,exchange
3153,créditos,credits
3154,característica,characteristic
3155,heridos,wounded
3156,comunistas,communists
3157,deberían,They should
3158,dirigió,He directed
3159,sentirse,feel
3160,harina,flour
3161,dinámica,dynamic
3162,garantizar,guarantee
3163,tarjeta,card
3164,consenso,consensus
3165,financieros,financial
3166,llamados,called
3167,consiguiente,consequent
3168,secretos,Secrets
3169,debían,They should
3170,dispuestos,ready
3171,pensado,thought-out
3172,surge,arises
3173,pepe,Pepe
3174,existía,existed
3175,espectador,viewer
3176,precisa,Precise
3177,jurado,jury
3178,agencias,Agencies
3179,convencido,convinced
3180,fiscales,Prosecutors
3181,córdoba,Cordova
3182,oreja,ear
3183,alemana,German
3184,chicos,Boys
3185,ochenta,eighty
3186,botella,bottle
3187,femenina,female
3188,examen,test
3189,ambiental,environmental
3190,pri,PRI
3191,pasaron,They passed
3192,contaba,He counted
3193,barrios,neighborhoods
3194,llevaron,They carried
3195,policial,Police
3196,invitados,guests
3197,entrenador,coach
3198,risa,laughter
3199,circunstancia,circumstance
3200,tendencias,trends
3201,etapas,stages
3202,roca,stone
3203,comparación,comparison
3204,provoca,causes
3205,vieron,They saw
3206,muñoz,Muñoz
3207,autónoma,Autonomous
3208,prevención,prevention
3209,dama,lady
3210,líquido,liquid
3211,estarán,will be
3212,xviii,XVIII
3213,decidir,decide
3214,tribunales,Courts
3215,calma,Calm down
3216,suficientemente,enough
3217,comentario,commentary
3218,tv,TV
3219,garantía,warranty
3220,protagonistas,protagonists
3221,mandato,mandate
3222,temprano,early
3223,artística,artistic
3224,obreros,workers
3225,quinto,fifth
3226,imprescindible,essential
3227,retrato,portrait
3228,cero,zero
3229,ésa,that
3230,desaparecido,missing
3231,soviética,Soviet
3232,temperaturas,temperatures
3233,baile,dance
3234,curioso,curious
3235,fronteras,borders
3236,ensayo,rehearsal
3237,desconocido,unknown
3238,dichos,sayings
3239,queso,cheese
3240,vecino,neighbour
3241,empresarial,Business
3242,mueve,move
3243,sanidad,health
3244,medicamentos,medicines
3245,organizado,organized
3246,izquierdo,left
3247,conozco,know
3248,lujo,luxury
3249,terroristas,Terrorists
3250,euros,euros
3251,americana,American
3252,ayudas,Aid
3253,coste,cost
3254,rosario,rosary beads
3255,ap,AP
3256,enseguida,right away
3257,lectores,Readers
3258,emergencia,emergency
3259,clásica,classic
3260,reglamento,regulation
3261,dará,give to
3262,sindical,union
3263,raro,weird
3264,alimento,food
3265,poblaciones,populations
3266,ronda,round
3267,horizonte,horizon
3268,trastornos,disorders
3269,kilos,kilos
3270,necesitaba,needed
3271,obliga,forces
3272,nuclear,nuclear
3273,rigor,rigor
3274,correo,mail
3275,estética,esthetic
3276,zapatos,shoes
3277,ponía,put
3278,intensa,intense
3279,bloque,block
3280,sombras,shades
3281,transmisión,transmission
3282,consigo,with him
3283,misterio,mystery
3284,gustaba,liked
3285,cerró,hill
3286,inútil,Useless
3287,palma,palm
3288,turno,shift
3289,aviones,planes
3290,uruguay,Uruguay
3291,expectativas,expectations
3292,comisiones,commissions
3293,imaginar,To imagine
3294,grito,scream
3295,idioma,idiom
3296,obtenido,obtained
3297,realizadas,carried out
3298,privados,private
3299,antecedentes,background
3300,cumple,complies
3301,provocar,to provoke
3302,nicolás,Nicholas
3303,síndrome,syndrome
3304,llorar,mourn
3305,mariano,Mariano
3306,lorenzo,Lawrence
3307,deber,must
3308,ramas,branches
3309,planificación,planning
3310,revistas,journals
3311,tienda,shop
3312,embajada,embassy
3313,lento,slow
3314,recoge,collect
3315,separación,separation
3316,resumen,resume
3317,beber,to drink
3318,coches,cars
3319,actúa,Act
3320,terrenos,land
3321,sentí,I felt
3322,canales,channels
3323,caminar,walk
3324,firmado,signed
3325,salía,It came out
3326,verdaderamente,truly
3327,coordinación,coordination
3328,cantante,singer
3329,contigo,with you
3330,precisión,precision
3331,caído,fallen
3332,cercano,near
3333,huevo,egg
3334,multitud,crew
3335,exigencias,requirements
3336,sufrió,suffered
3337,corre,run
3338,sucedido,happened
3339,testimonio,testimony
3340,apariencia,appearance
3341,juega,play
3342,estima,esteem
3343,onu,UN
3344,infraestructura,infrastructure
3345,posesión,possession
3346,trató,deal
3347,orgullo,pride
3348,previo,previous
3349,vigor,vigor
3350,conocen,They know
3351,informaciones,Information
3352,madres,Mothers
3353,redes,networks
3354,contaminación,contamination
3355,adquirir,acquire
3356,sirven,serving
3357,venga,come on
3358,favorable,favorable
3359,primaria,primary
3360,salinas,Salinas
3361,renuncia,resignation
3362,accidentes,accidents
3363,tránsito,transit
3364,heridas,wounds
3365,comprende,understands
3366,cliente,customer
3367,confirmó,confirmed
3368,individuales,individual
3369,acá,here
3370,ordenó,ordered
3371,solicitud,application
3372,tragedia,tragedy
3373,levantar,lift up
3374,comando,command
3375,oriental,Oriental
3376,procedentes,coming
3377,detuvo,stopped
3378,hagan,do
3379,trayectoria,trajectory
3380,socialismo,socialism
3381,religioso,religious
3382,bella,pretty
3383,emisión,issue
3384,humanas,human
3385,presiones,pressures
3386,emperador,emperor
3387,encuentros,Encounters
3388,facilitar,to ease
3389,irse,leave
3390,terror,terror
3391,señales,signals
3392,tecnologías,technologies
3393,documentación,documentation
3394,espiritual,spiritual
3395,visitar,visit
3396,agrega,Add
3397,presidentes,Presidents
3398,encontrarse,meet
3399,acceder,to access
3400,saca,pulls out
3401,entiendo,I get it
3402,olvidado,forgotten
3403,profundamente,deeply
3404,condena,sentence
3405,daban,They gave
3406,respaldo,back
3407,pnv,PNV
3408,sufre,suffers
3409,tristeza,sadness
3410,regionales,regional
3411,existente,existing
3412,pudieran,They could
3413,orgánica,organic
3414,arco,arc
3415,cambia,Change
3416,castigo,punishment
3417,valladolid,Valladolid
3418,ruptura,breaking off
3419,amante,lover
3420,directores,Directors
3421,tejido,knitting
3422,disposiciones,provisions
3423,montañas,mountains
3424,publicó,public
3425,intenso,intense
3426,taller,workshop
3427,et,et
3428,km,km
3429,balance,balance
3430,frutas,fruits
3431,tel,Tel
3432,exportaciones,exports
3433,ramírez,Ramírez
3434,restaurante,restaurant
3435,demandas,demands
3436,funciona,works
3437,habrían,they would have
3438,trabajan,they work
3439,cubana,Cuban
3440,municipios,municipalities
3441,luisa,Louise
3442,suponer,suppose
3443,lesiones,injuries
3444,refleja,reflects
3445,finalidad,purpose
3446,urgencia,urgency
3447,adolfo,Adolfo
3448,alemanes,Germans
3449,negativo,negative
3450,independientes,independent
3451,renovación,renewal
3452,regla,rule
3453,incluido,included
3454,alteraciones,alterations
3455,ideología,ideology
3456,repente,Suddenly
3457,modificaciones,modifications
3458,incidencia,incidence
3459,encontraron,They found
3460,muchachos,boys
3461,materias,subjects
3462,enormes,huge
3463,escritura,writing
3464,fábrica,factory
3465,uniforme,uniform
3466,variables,Variables
3467,crónica,chronicle
3468,ventanas,windows
3469,guerrilla,warfare
3470,mentira,lie
3471,tranquilidad,tranquility
3472,camisa,shirt
3473,recoger,pick up
3474,auténtico,authentic
3475,fiel,faithful
3476,max,Max
3477,sustancia,substance
3478,permitirá,will allow
3479,catalana,Catalan
3480,instrucciones,instructions
3481,decían,they were saying
3482,claras,Clear
3483,mendoza,Mendoza
3484,salarios,wages
3485,conquista,conquest
3486,candidatura,candidacy
3487,embarazo,pregnancy
3488,vergüenza,shame
3489,incorporación,incorporation
3490,limpieza,cleaning
3491,cristina,Cristina
3492,terrorista,terrorist
3493,resultaba,It resulted
3494,corresponsal,correspondent
3495,ingeniero,engineer
3496,poema,poem
3497,mancha,stain
3498,adaptación,adaptation
3499,ansiedad,anxiety
3500,sostuvo,held
3501,limón,lemon
3502,luchar,to struggle
3503,permanecer,stay
3504,dólar,dollar
3505,quinta,Fifth
3506,escalera,ladder
3507,humedad,humidity
3508,canadá,Canada
3509,consejos,advice
3510,maíz,corn
3511,occidente,West
3512,patrón,Pattern
3513,rodrigo,Rodrigo
3514,sexuales,sexual
3515,hugo,Hugo
3516,detención,detention
3517,acercó,approached
3518,infección,infection
3519,aceptación,acceptance
3520,avances,advances
3521,gerente,manager
3522,personalmente,personally
3523,combinación,combination
3524,entera,whole
3525,hombro,shoulder
3526,estatuto,statute
3527,asiento,seat
3528,crees,You believe
3529,empezaron,They started
3530,robert,Robert
3531,cumplido,compliment
3532,renta,rent
3533,santander,Santander
3534,misa,mass
3535,pelota,ball
3536,rodillas,knees
3537,prima,cousin
3538,delgado,thin
3539,generaciones,generations
3540,sentidos,senses
3541,prisa,hurry
3542,teorías,Theories
3543,trae,Bring
3544,cajas,boxes
3545,cariño,sweetie
3546,competencias,Competencies
3547,desgracia,misfortune
3548,ejemplares,specimens
3549,aprobado,passed
3550,específico,specific
3551,advierte,warns
3552,lee,read
3553,frutos,fruits
3554,peligroso,dangerous
3555,caribe,Caribbean
3556,concluyó,concluded
3557,veremos,we will see
3558,domicilio,address
3559,escucha,listens
3560,ugt,UGT
3561,novia,fiancee
3562,caras,faces
3563,reflejo,reflection
3564,diversidad,diversity
3565,sienta,Feel
3566,ligeramente,slightly
3567,paco,Paco
3568,suspensión,suspension
3569,proyección,projection
3570,tiende,tends
3571,verlo,see him
3572,cometido,task
3573,impide,prevents
3574,consumidores,consumers
3575,esperan,are waiting
3576,básica,basic
3577,nieve,snow
3578,asistir,attend
3579,llegue,I arrived
3580,agustín,Agustin
3581,narcotráfico,drug trafficking
3582,paquete,package
3583,atlético,athletic
3584,vocación,vocation
3585,conduce,she drives
3586,intenciones,intentions
3587,soldado,soldier
3588,defensor,advocate
3589,planos,blueprints
3590,hacerle,do
3591,lados,sides
3592,literaria,Literary
3593,argentinos,Argentines
3594,amparo,protection
3595,inteligente,intelligent
3596,afirmación,affirmation
3597,catedral,Cathedral
3598,guerrero,Warrior
3599,viajar,to travel
3600,definitivo,definitive
3601,gato,cat
3602,cm,cm
3603,repetir,to repeat
3604,salvar,save
3605,gestos,gestures
3606,inevitable,inevitable
3607,empleado,employee
3608,coro,chorus
3609,asturias,Asturias
3610,rubio,blond
3611,suprema,Supreme
3612,descubrió,discovered
3613,echar,throw
3614,integral,comprehensive
3615,quede,remain
3616,aprovechar,leverage
3617,cubierta,deck
3618,acudir,go
3619,archivo,archive
3620,define,define
3621,corresponden,correspond
3622,encontraban,They found
3623,inmensa,immense
3624,mapa,Map
3625,sergio,Sergio
3626,hilo,thread
3627,navarro,Navarrese
3628,ciertamente,indeed
3629,explicaciones,Explanations
3630,bolsillo,pocket
3631,críticos,critics
3632,ocupar,occupy
3633,activo,asset
3634,buscan,looking for
3635,volvía,I returned to
3636,convivencia,coexistence
3637,realizados,performed
3638,suiza,Switzerland
3639,and,and
3640,continuó,continuous
3641,península,peninsula
3642,urbana,Urban
3643,oh,Oh
3644,olvido,forgot
3645,ejercer,exercise
3646,tela,fabric
3647,pasajeros,passengers
3648,auténtica,authentic
3649,caza,hunt
3650,navarra,Navarre
3651,socio,partner
3652,escrita,written
3653,querían,They wanted
3654,piano,piano
3655,florida,Florida
3656,obligaciones,obligations
3657,enfrentamiento,confrontation
3658,talento,talent
3659,desierto,desert
3660,pierna,leg
3661,adentro,inside
3662,comienzos,beginnings
3663,vientos,winds
3664,comisario,commissar
3665,alza,rise
3666,honduras,Honduras
3667,bosques,forests
3668,cristiana,Christian
3669,propuso,proposed
3670,otoño,autumn
3671,leído,read
3672,posteriores,later
3673,doctrina,doctrine
3674,sucesos,EVENTS
3675,visitas,Visits
3676,expresar,express
3677,prado,meadow
3678,fija,fixed
3679,abiertos,open
3680,cadenas,chains
3681,hermosa,beautifull
3682,jornadas,journeys
3683,intentos,Attempts
3684,relativa,relative
3685,artístico,artistic
3686,poniendo,putting up
3687,extremos,extremes
3688,provocó,caused
3689,concesión,concession
3690,teníamos,we had
3691,halla,Find
3692,juvenil,youth
3693,sucedió,happened
3694,espacial,space
3695,agrícola,agricultural
3696,destinado,intended
3697,mantenido,kept
3698,explosión,burst
3699,ajo,Garlic
3700,jordi,Jordi
3701,sirvió,served
3702,parlamentario,parliamentary
3703,diablo,Devil
3704,grasa,grease
3705,incluyen,include
3706,poseen,they possess
3707,xvi,XVI
3708,compuesto,compound
3709,determinación,determination
3710,viejas,old
3711,conoció,He met
3712,parlamentarios,parliamentarians
3713,señalado,indicated
3714,menem,Menem
3715,salieron,They left
3716,generalitat,Generalitat
3717,parar,stop
3718,raza,race
3719,requisitos,requirements
3720,vigente,valid
3721,compromisos,commitments
3722,efectivo,cash
3723,utilidad,utility
3724,dichas,said
3725,poemas,poems
3726,amenazas,Threats
3727,negociar,negotiate
3728,singular,singular
3729,valoración,assessment
3730,italiana,Italian
3731,laborales,labor
3732,aficionados,fans
3733,lago,lake
3734,marcas,brands
3735,cubanos,Cubans
3736,regulación,regulation
3737,apoyar,support
3738,ordenador,computer
3739,extrema,extreme
3740,ejercicios,exercises
3741,encuesta,poll
3742,unida,United
3743,plenamente,fully
3744,aniversario,anniversary
3745,bretaña,Brittany
3746,variable,variable
3747,guarda,guard
3748,alegre,happy
3749,escenas,Scenes
3750,montaje,mounting
3751,supongo,i guess
3752,tve,TVE
3753,abandono,abandonment
3754,irene,Irene
3755,modificación,modification
3756,eco,echo
3757,new,New
3758,exilio,exile
3759,provocado,caused
3760,sesiones,sessions
3761,nubes,clouds
3762,paul,Paul
3763,entrenamiento,training
3764,espectacular,spectacular
3765,perfecta,Perfect
3766,extraordinario,extraordinary
3767,dices,You say
3768,esposo,husband
3769,capitales,capitals
3770,colombiano,Colombian
3771,modificar,Modify
3772,muerta,dead
3773,extraordinaria,extraordinary
3774,viviendo,living
3775,distinguir,distinguish
3776,ocurrir,to occure
3777,lanzó,He launched
3778,decide,Decide
3779,dibujo,He drew
3780,épocas,times
3781,entregó,He delivered
3782,físicas,Physical
3783,locura,craziness
3784,george,George
3785,piloto,pilot
3786,cerrada,closed
3787,comenzado,started
3788,psicología,psychology
3789,convertir,convert
3790,escritos,writings
3791,aragón,Aragon
3792,evento,event
3793,músculos,muscles
3794,circuito,circuit
3795,incapaz,unable
3796,combatir,fight
3797,estómago,stomach
3798,estudiante,student
3799,subida,rise
3800,toledo,Toledo
3801,ahorro,saving
3802,retorno,return
3803,promover,to promote
3804,reciben,They receive
3805,máquinas,Machines
3806,sitios,sites
3807,corriendo,in a hurry
3808,escapar,get away
3809,pensamientos,thoughts
3810,irán,Iran
3811,muro,Wall
3812,ocupación,occupation
3813,permanece,it remains
3814,gallego,Galician
3815,pusieron,They put
3816,visual,visual
3817,iniciado,initiated
3818,fiebre,fever
3819,rock,rock
3820,vargas,Vargas
3821,territorial,territorial
3822,nacionalista,nationalist
3823,bruselas,Brussels
3824,contraste,contrast
3825,enfrentar,deal
3826,pesca,fishing
3827,internos,internal
3828,solos,alone
3829,fiscalía,Prosecutor's Office
3830,selva,jungle
3831,activos,assets
3832,votación,vote
3833,aceptó,I agree
3834,introducir,Introduce
3835,condenado,condemned
3836,novelas,novels
3837,secuestro,kidnapping
3838,cantar,to sing
3839,deterioro,deterioration
3840,platos,dishes
3841,ruso,Russian
3842,falso,false
3843,listas,lists
3844,magnitud,magnitude
3845,vázquez,Vázquez
3846,conductor,driver
3847,culturas,cultures
3848,identificar,identify
3849,instrucción,instruction
3850,reparto,distribution
3851,sonidos,Sounds
3852,abc,ABC
3853,enfoque,focus
3854,margarita,Daisy flower
3855,adoptar,adopt
3856,acusaciones,accusations
3857,aquél,that
3858,arturo,Arthur
3859,considerable,considerable
3860,fusión,fusion
3861,rivera,Rivera
3862,seguirá,will follow
3863,resultan,They are
3864,simples,simple
3865,chino,Chinese
3866,debilidad,weakness
3867,juntas,together
3868,adiós,bye
3869,básico,essential
3870,propuesto,proposed
3871,cardenal,cardinal
3872,constantemente,constantly
3873,estrategias,strategies
3874,corporal,bodily
3875,basura,trash
3876,entrado,Enter
3877,históricos,historical
3878,normales,normal
3879,reconocido,recognized
3880,cuentos,stories
3881,paciencia,patience
3882,suyos,his
3883,plástico,plastic
3884,bebé,baby
3885,herencia,inheritance
3886,visitantes,Visitors
3887,situada,located
3888,eva,Eve
3889,resultar,result
3890,ficción,fiction
3891,basada,based
3892,abundante,abundant
3893,compartir,to share
3894,hospitales,hospitals
3895,concluir,conclude
3896,organizar,organize
3897,sencilla,simple
3898,canarias,Canary Islands
3899,genética,genetics
3900,berlín,Berlin
3901,perdón,forgiveness
3902,significativo,significant
3903,versiones,versions
3904,disfrutar,to enjoy
3905,vanguardia,Vanguard
3906,propietarios,Owners
3907,culto,worship
3908,aplicaciones,Applications
3909,azules,Blue
3910,evidentemente,evidently
3911,guión,screenplay
3912,tesoro,treasure
3913,niega,denies
3914,celebrar,celebrate
3915,recordaba,remembered
3916,equivalente,equivalent
3917,limitaciones,limitations
3918,milagro,miracle
3919,jugando,Playing
3920,categorías,categories
3921,educativo,educational
3922,represión,repression
3923,sindicales,union
3924,turistas,tourists
3925,acusación,accusation
3926,correcta,correct
3927,parejas,Couples
3928,novedad,novelty
3929,liberales,liberals
3930,continua,keep going
3931,hábitos,habits
3932,joan,Joan
3933,delegado,delegate
3934,recurrir,appeal
3935,cualidades,qualities
3936,costos,Costs
3937,michael,Michael
3938,universitario,academic
3939,expediente,proceedings
3940,perspectivas,Perspectives
3941,expresiones,expressions
3942,referencias,references
3943,nace,It is born
3944,cierra,Close
3945,denominado,called
3946,cortar,cut off
3947,excepto,except
3948,garantías,guarantee
3949,envió,Shipping
3950,industrias,industries
3951,rapidez,speed
3952,carreteras,roads
3953,digital,digital
3954,impone,Impose
3955,gregorio,Gregorio
3956,crema,cream
3957,destacan,They stand out
3958,parcial,partial
3959,sitúa,places
3960,conexión,Connection
3961,gubernamental,governmental
3962,versos,verses
3963,concreta,concrete
3964,filas,Rows
3965,desaparecer,disappear
3966,retirada,withdrawal
3967,decirse,say
3968,soberanía,sovereignty
3969,xvii,XVII
3970,basado,based
3971,núñez,Núñez
3972,anuales,annual
3973,chileno,Chilean
3974,mediterráneo,Mediterranean
3975,indispensable,indispensable
3976,periodismo,journalism
3977,desempleo,unemployment
3978,balón,ball
3979,eeuu,USA
3980,músicos,musicians
3981,prepara,prepare
3982,sacerdote,priest
3983,muere,go dead
3984,hijas,daughters
3985,disponer,provide
3986,ejemplar,copy
3987,miseria,misery
3988,amarillo,yellow
3989,creemos,We believe
3990,deje,leave
3991,genera,generate
3992,restantes,remaining
3993,bellas,beautiful
3994,sara,Sara
3995,ama,Love
3996,episodio,episode
3997,bush,Bush
3998,kg,kg
3999,ensayos,essays
4000,seguimiento,tracing
4001,pertenecen,They belong
4002,regresó,return
4003,arquitecto,architect
4004,com,com
4005,vega,Vega
4006,llegando,arriving
4007,abandonado,abandoned
4008,corporación,corporation
4009,convicción,conviction
4010,caracteriza,characterize
4011,acepta,you accept
4012,agenda,schedule
4013,pasillo,corridor
4014,sacrificio,sacrifice
4015,adolescentes,teenagers
4016,americanos,American people
4017,alicia,Alicia
4018,regalo,gift
4019,aparente,apparent
4020,justamente,fairly
4021,musicales,musicals
4022,universitaria,University
4023,siga,Follow
4024,ajuste,adjustment
4025,creador,creator
4026,colegios,schools
4027,fresco,fresh
4028,indígena,indigenous
4029,lucía,Lucy
4030,estuve,was
4031,herida,wound
4032,electricidad,electricity
4033,generar,generate
4034,incluir,include
4035,ramos,Ramos
4036,peña,pain
4037,pinturas,Paints
4038,echó,threw out
4039,félix,Felix
4040,laura,Laura
4041,afán,eagerness
4042,cambió,change
4043,proteger,protect
4044,recinto,enclosure
4045,vuelven,They come back
4046,decenas,tens
4047,vigencia,validity
4048,administrativo,administrative
4049,niñas,Girls
4050,usuario,Username
4051,hermoso,handsome
4052,une,UNE
4053,té,tea
4054,breves,Brief
4055,muebles,furniture
4056,cálculo,calculation
4057,malas,bad
4058,propietario,owner
4059,puta,bitch
4060,efectuar,make
4061,fuimos,went
4062,vivió,lived
4063,autónomas,Autonomous
4064,fina,fine
4065,aparatos,devices
4066,basa,base
4067,avanzar,move along
4068,longitud,length
4069,arias,Arias
4070,bajó,under
4071,británica,British
4072,directivos,managers
4073,planteamiento,approach
4074,colegas,colleagues
4075,secuencia,sequence
4076,adolescente,Teen
4077,relacionadas,related
4078,urgente,urgent
4079,culpable,guilty
4080,pagos,Payments
4081,film,film
4082,herido,injured
4083,afectan,They affect
4084,sombrero,hat
4085,caldo,broth
4086,vih,HIV
4087,costado,side stand
4088,negras,Black
4089,piensan,They think
4090,pendientes,slopes
4091,serlo,be
4092,catorce,fourteen
4093,afp,AFP
4094,oscura,Dark
4095,boda,wedding
4096,calificó,described
4097,quito,Quito
4098,gala,gala
4099,agradable,pleasant
4100,efectiva,effective
4101,adquisición,acquisition
4102,tratados,treated
4103,verá,You will see
4104,infierno,hell
4105,prevista,planned
4106,rayos,Ray
4107,josep,Josep
4108,roldán,Roldán
4109,contado,Cash
4110,policiales,Police
4111,eliminación,elimination
4112,inicialmente,initially
4113,estable,stable
4114,físicos,Physical
4115,seca,Dry
4116,observaciones,observations
4117,ancho,broad
4118,coloca,Place
4119,comedia,comedy
4120,considerarse,be considered
4121,administrativa,Administrative
4122,creó,believe
4123,elaborado,Elaborated
4124,crecer,grow up
4125,cristianos,Christians
4126,pistola,gun
4127,cartera,briefcase
4128,respiración,breathing
4129,nacionalistas,nationalists
4130,imponer,impose
4131,obrero,worker
4132,únicos,unique
4133,vientre,belly
4134,directora,director
4135,poetas,poets
4136,aérea,Aerial
4137,azar,random
4138,despertar,wake up
4139,plataforma,platform
4140,ejecutiva,Executive
4141,discutir,argue
4142,indican,indicate
4143,visible,visible
4144,duque,duke
4145,mortalidad,mortality
4146,marcado,marked
4147,acabado,finish
4148,preocupa,worries
4149,reproducción,reproduction
4150,específicos,Specific
4151,sensible,sensitive
4152,territorios,territories
4153,genes,genes
4154,finanzas,finance
4155,entradas,tickets
4156,piden,They ask
4157,soportar,to bear
4158,anunciado,announced
4159,autorización,authorization
4160,consta,It consists
4161,sofía,Sofia
